family,model,algo,L,N,sweeps,repeat,wall_s,sweeps_per_s,updates_per_s,vmpeak_kb,vmhwm_kb,threads
strain,strain-honeycomb-me,met+5over,24,1152,300,2,2.447841e-01,1.225570e+03,1.411857e+06,158828,15512,2
lattice,heisenberg-honeycomb,metropolis,32,2048,300,0,8.591850e-03,3.491681e+04,7.150963e+07,38524,8692,4
lattice,heisenberg-honeycomb,metropolis,32,2048,300,1,1.111329e-02,2.699469e+04,5.528513e+07,38524,8692,4
lattice,heisenberg-honeycomb,metropolis,32,2048,300,2,9.099621e-03,3.296841e+04,6.751930e+07,38524,8692,4
lattice,heisenberg-honeycomb,over,32,2048,300,0,4.731651e-03,6.340282e+04,1.298490e+08,38524,8692,4
lattice,heisenberg-honeycomb,over,32,2048,300,1,4.719866e-03,6.356113e+04,1.301732e+08,38524,8692,4
lattice,heisenberg-honeycomb,over,32,2048,300,2,5.013301e-03,5.984081e+04,1.225540e+08,38524,8692,4
lattice,heisenberg-honeycomb,met+5over,32,2048,300,0,7.310155e-02,4.103880e+03,8.404747e+06,38524,8692,4
lattice,heisenberg-honeycomb,met+5over,32,2048,300,1,7.866958e-02,3.813418e+03,7.809880e+06,38524,8692,4
lattice,heisenberg-honeycomb,met+5over,32,2048,300,2,5.758078e-02,5.210072e+03,1.067023e+07,38524,8692,4
lattice,heisenberg-honeycomb,wolff,32,2048,300,0,1.403860e-03,2.136965e+05,4.376505e+08,38524,8692,4
lattice,heisenberg-honeycomb,wolff,32,2048,300,1,1.283366e-03,2.337603e+05,4.787411e+08,38524,8692,4
lattice,heisenberg-honeycomb,wolff,32,2048,300,2,1.301488e-03,2.305054e+05,4.720750e+08,38524,8692,4
lattice,heisenberg-honeycomb,swendsen_wang,32,2048,300,0,2.952951e-02,1.015933e+04,2.080631e+07,38660,8692,4
lattice,heisenberg-honeycomb,swendsen_wang,32,2048,300,1,3.217208e-02,9.324854e+03,1.909730e+07,38660,8692,4
lattice,heisenberg-honeycomb,swendsen_wang,32,2048,300,2,3.063380e-02,9.793104e+03,2.005628e+07,38660,8692,4
lattice,kitaev-honeycomb,metropolis,32,2048,300,0,9.769889e-03,3.070659e+04,6.288710e+07,38660,8964,4
