family,model,algo,L,N,sweeps,repeat,wall_s,sweeps_per_s,updates_per_s,vmpeak_kb,vmhwm_kb
strain,strain-honeycomb-bilin,met+5over,24,1152,4000,0,4.346386e+00,9.203047e+02,1.060191e+06,20520,15420
strain,strain-honeycomb-bilin,met+5over,24,1152,4000,1,4.363267e+00,9.167442e+02,1.056089e+06,20520,15420
strain,strain-honeycomb-bilin,met+5over,24,1152,4000,2,4.296038e+00,9.310905e+02,1.072616e+06,20520,15420
strain,strain-honeycomb-me,metropolis,24,1152,1000,0,2.478486e-01,4.034721e+03,4.647999e+06,20520,15420
strain,strain-honeycomb-me,metropolis,24,1152,1000,1,2.458883e-01,4.066887e+03,4.685054e+06,20520,15420
strain,strain-honeycomb-me,metropolis,24,1152,1000,2,2.450187e-01,4.081322e+03,4.701683e+06,20520,15420
strain,strain-honeycomb-me,over,24,1152,1000,0,1.954474e-01,5.116466e+03,5.894169e+06,20520,15420
strain,strain-honeycomb-me,over,24,1152,1000,1,2.084706e-01,4.796839e+03,5.525958e+06,20520,15420
strain,strain-honeycomb-me,over,24,1152,1000,2,2.035604e-01,4.912547e+03,5.659254e+06,20520,15420
strain,strain-honeycomb-me,met+5over,24,1152,1000,0,1.288364e+00,7.761781e+02,8.941572e+05,20520,15420
strain,strain-honeycomb-me,met+5over,24,1152,1000,1,1.225942e+00,8.156991e+02,9.396853e+05,20520,15420
strain,strain-honeycomb-me,met+5over,24,1152,1000,2,1.176941e+00,8.496602e+02,9.788086e+05,20520,15420
