x, y
0.647426295,2.538436904
0.656341347,2.482100837
0.666296893,2.335899971
0.675653244,2.279758838
0.687369938,2.231415085
0.695819399,2.182486529
0.707143378,2.077221905
0.715641422,2.077221905
0.727050421,2.191063646
0.735973571,2.12088723
0.735973571,2.12088723
0.750244941,2.458123895
0.766900947,2.365530013
0.784427404,2.276250017
0.801350618,2.116208803
0.819423639,2.890878458
0.836249686,3.357356688
0.853840922,3.895765744
0.871343088,4.676478369
0.886974793,4.908255476
0.906278593,4.960302984
0.917582329,5.002993637
0.926537867,4.855233295
0.933375979,4.956794163
0.94121005,4.911569362
0.948886226,5.279605675
0.956619082,5.465768112
0.965032106,5.483312215
0.972169815,5.959732104
0.980137491,6.377476712
0.987578847,6.295799162
0.996012113,8.051184227
0.996012113,8.051184227
